"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 18:56:18 GMT 2024","Wed Jun 12 18:56:19 GMT 2024","1180","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL","TC-O1 Open BAseURL"
"passed","Wed Jun 12 18:56:05 GMT 2024","Wed Jun 12 18:56:06 GMT 2024","1119","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 12 18:56:06 GMT 2024","Wed Jun 12 18:56:08 GMT 2024","1727","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 12 18:56:08 GMT 2024","Wed Jun 12 18:56:10 GMT 2024","1722","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 12 18:56:16 GMT 2024","Wed Jun 12 18:56:17 GMT 2024","1680","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 12 18:56:01 GMT 2024","Wed Jun 12 18:56:01 GMT 2024","7","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Wed Jun 12 18:56:02 GMT 2024","Wed Jun 12 18:56:05 GMT 2024","2852","Surefire suite","Surefire test","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Wed Jun 12 18:56:14 GMT 2024","Wed Jun 12 18:56:15 GMT 2024","1606","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 12 18:56:10 GMT 2024","Wed Jun 12 18:56:14 GMT 2024","3391","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Wed Jun 12 18:56:01 GMT 2024","Wed Jun 12 18:56:01 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
