"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 04:22:58 GMT 2024","Thu Jun 13 04:22:59 GMT 2024","1240","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Thu Jun 13 04:22:48 GMT 2024","Thu Jun 13 04:22:48 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Thu Jun 13 04:22:48 GMT 2024","Thu Jun 13 04:22:48 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Thu Jun 13 04:23:01 GMT 2024","Thu Jun 13 04:23:02 GMT 2024","666","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL","TC-O1 Open BAseURL"
"passed","Thu Jun 13 04:22:54 GMT 2024","Thu Jun 13 04:22:55 GMT 2024","1159","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 04:22:59 GMT 2024","Thu Jun 13 04:23:01 GMT 2024","1151","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 04:22:48 GMT 2024","Thu Jun 13 04:22:52 GMT 2024","3514","Surefire suite","Surefire test","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Thu Jun 13 04:22:55 GMT 2024","Thu Jun 13 04:22:56 GMT 2024","1152","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 04:22:56 GMT 2024","Thu Jun 13 04:22:58 GMT 2024","1288","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 04:22:52 GMT 2024","Thu Jun 13 04:22:53 GMT 2024","1305","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
