"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 05:10:47 GMT 2024","Thu Jun 13 05:10:48 GMT 2024","1045","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:10:48 GMT 2024","Thu Jun 13 05:10:49 GMT 2024","1053","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:10:37 GMT 2024","Thu Jun 13 05:10:37 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Thu Jun 13 05:10:37 GMT 2024","Thu Jun 13 05:10:41 GMT 2024","3551","Surefire suite","Surefire test","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Thu Jun 13 05:10:50 GMT 2024","Thu Jun 13 05:10:50 GMT 2024","718","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL","TC-O1 Open BAseURL"
"passed","Thu Jun 13 05:10:43 GMT 2024","Thu Jun 13 05:10:44 GMT 2024","1177","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:10:41 GMT 2024","Thu Jun 13 05:10:43 GMT 2024","1220","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:10:46 GMT 2024","Thu Jun 13 05:10:47 GMT 2024","1353","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:10:44 GMT 2024","Thu Jun 13 05:10:45 GMT 2024","1157","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Thu Jun 13 05:10:37 GMT 2024","Thu Jun 13 05:10:37 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
